cl	cd	cm	LD
0.19107600	0.01579270	0.00703701	12.09900777
0.24919600	0.01528350	0.04491460	16.30490398
0.35247900	0.01338000	0.09439940	26.34372197
0.23716800	0.01342830	0.03012700	17.66180380
0.27730900	0.01735770	0.04227250	15.97613739
0.30737500	0.02310610	0.07650990	13.30276421
0.32475800	0.01291770	0.08896330	25.14054360
0.33956900	0.01812950	0.08641590	18.73019112
0.27288200	0.01469450	0.04840530	18.57034945
0.27917300	0.01503110	0.05509030	18.57302526
0.36024200	0.01326260	0.08964590	27.16224571
0.33889000	0.01419780	0.08531030	23.86919100
0.26336000	0.02356330	0.04506420	11.17670275
0.43531000	0.02246700	0.13023400	19.37552855
0.29008100	0.01957170	0.05431800	14.82145138
0.35364700	0.01388220	0.09122560	25.47485269
0.32267900	0.01378050	0.07655050	23.41562353
0.30013800	0.01955380	0.06643830	15.34934386
0.35473200	0.01764360	0.08683770	20.10542066
0.24941900	0.01230680	0.03706440	20.26676309
