cl	cd	cm	LD
0.20282300	0.01725570	0.00873848	11.75397115
0.26667800	0.01657520	0.04819210	16.08897630
0.38079400	0.01329370	0.10167700	28.64469636
0.25166000	0.01416540	0.03178660	17.76582377
0.29077300	0.01983240	0.04662290	14.66151348
0.32103500	0.02607830	0.08076030	12.31042668
0.34790900	0.01240270	0.09393920	28.05106953
0.35973400	0.02028370	0.09085610	17.73512722
0.28425500	0.01591580	0.04978150	17.85992536
0.29707000	0.01642220	0.05869150	18.08953733
0.38484100	0.01381140	0.09557570	27.86401089
0.36031000	0.01542480	0.09054190	23.35913594
0.27029100	0.02642530	0.04744750	10.22849315
0.44891100	0.02590340	0.13635600	17.33019604
0.29776600	0.02211110	0.05680590	13.46681079
0.37801900	0.01429540	0.09764680	26.44340137
0.34613900	0.01439410	0.08100440	24.04728326
0.29769100	0.02204400	0.06505820	13.50440029
0.37701100	0.01959560	0.09244980	19.23957419
0.27223900	0.01206390	0.04242300	22.56641716
