cl	cd	cm	LD
0.20782000	0.01439320	0.00999988	14.43876275
0.27915200	0.01450890	0.05289590	19.24005266
0.39426400	0.01078520	0.10740500	36.55602121
0.26064500	0.01208190	0.03582390	21.57317972
0.29888900	0.01778600	0.04793930	16.80473406
0.34444300	0.02501150	0.08997680	13.77138516
0.37498100	0.00970211	0.10620500	38.64942780
0.38890700	0.01864580	0.10293800	20.85761941
0.30233600	0.01399510	0.05693960	21.60298962
0.31932100	0.01458240	0.06838340	21.89769860
0.39771800	0.01156470	0.10091200	34.39068891
0.37791500	0.01333400	0.09708710	28.34220789
0.29497800	0.02489660	0.05442640	11.84812384
0.46470800	0.02395420	0.14280600	19.39985472
0.31111000	0.01984460	0.06012550	15.67731272
0.39859300	0.01175460	0.10557000	33.90953329
0.35553400	0.01228960	0.08481630	28.92966411
0.33010300	0.02032840	0.07742740	16.23851361
0.39853800	0.01792620	0.10034100	22.23215182
0.26215500	0.00923051	0.03791260	28.40092259
