Iter	Fval	x0	x1	x2	x3	x4	x5	x6	x7	x8	x9	
1	-2.730000	0.899142	0.290301	0.790869	0.665570	0.108192	0.353575	0.140019	112.202774	-0.020591	0.014586	
2	-2.748000	0.891870	0.345885	0.819901	0.660215	0.054494	0.443208	0.111261	104.829370	-0.003091	0.009719	
3	-2.750000	0.898747	0.301799	0.815050	0.664078	0.083990	0.388196	0.126666	109.783392	-0.003857	0.012272	
4	-2.750000	0.898747	0.301799	0.815050	0.664078	0.083990	0.388196	0.126666	109.783392	-0.003857	0.012272	
5	-2.750000	0.898747	0.301799	0.815050	0.664078	0.083990	0.388196	0.126666	109.783392	-0.003857	0.012272	
6	-2.750000	0.898747	0.301799	0.815050	0.664078	0.083990	0.388196	0.126666	109.783392	-0.003857	0.012272	
7	-2.780000	0.886109	0.409483	0.820703	0.668496	0.081152	0.459058	0.105364	118.203063	-0.000092	0.015353	
8	-2.780000	0.896254	0.433773	0.812177	0.661071	0.077916	0.435748	0.111915	105.222675	-0.002105	0.014897	
9	-2.780000	0.896254	0.433773	0.812177	0.661071	0.077916	0.435748	0.111915	105.222675	-0.002105	0.014897	
10	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
11	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
12	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
13	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
14	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
15	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
16	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
17	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
18	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
19	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
20	-2.814000	0.892167	0.413560	0.811215	0.665588	0.078768	0.540952	0.113544	111.165538	0.006997	0.014825	
21	-2.819000	0.887295	0.395234	0.815433	0.666325	0.082318	0.478772	0.114183	129.335523	0.017670	0.013686	
22	-2.819000	0.887295	0.395234	0.815433	0.666325	0.082318	0.478772	0.114183	129.335523	0.017670	0.013686	
23	-2.821000	0.886375	0.425710	0.814262	0.666017	0.081349	0.467628	0.114729	112.585008	0.016778	0.013830	
24	-2.821000	0.886375	0.425710	0.814262	0.666017	0.081349	0.467628	0.114729	112.585008	0.016778	0.013830	
25	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
26	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
27	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
28	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
29	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
30	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
31	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
32	-2.830000	0.889031	0.407367	0.813861	0.666083	0.081401	0.520665	0.114716	112.758079	0.016772	0.014260	
33	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
34	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
35	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
36	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
37	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
38	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
39	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
40	-2.831000	0.888870	0.413877	0.814181	0.665931	0.081410	0.518313	0.114716	115.440886	0.016629	0.013848	
41	-2.832000	0.888528	0.419457	0.814076	0.666035	0.081373	0.514311	0.113023	115.328397	0.016165	0.013585	
42	-2.832000	0.888528	0.419457	0.814076	0.666035	0.081373	0.514311	0.113023	115.328397	0.016165	0.013585	
43	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
44	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
45	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
46	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
47	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
48	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
49	-2.835000	0.885096	0.417050	0.817083	0.666010	0.076654	0.542147	0.105227	102.586299	0.016332	0.015168	
50	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
51	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
52	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
53	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
54	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
55	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
56	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
57	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
58	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
59	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
60	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
61	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
62	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
63	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
64	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
65	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
66	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
67	-2.838000	0.888120	0.418593	0.816498	0.666030	0.078106	0.525515	0.111810	110.201328	0.016325	0.015137	
68	-2.841000	0.887787	0.420653	0.816294	0.666016	0.078425	0.529098	0.108235	110.634980	0.016323	0.015167	
69	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
70	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
71	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
72	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
73	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
74	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
75	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
76	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
77	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
78	-2.848000	0.888499	0.434590	0.817254	0.668344	0.078455	0.522281	0.109958	98.178240	0.016299	0.015117	
79	-2.851000	0.888230	0.424821	0.816501	0.667926	0.078681	0.516642	0.082596	101.527923	0.016214	0.015287	
80	-2.851000	0.888230	0.424821	0.816501	0.667926	0.078681	0.516642	0.082596	101.527923	0.016214	0.015287	
81	-2.851000	0.888230	0.424821	0.816501	0.667926	0.078681	0.516642	0.082596	101.527923	0.016214	0.015287	
82	-2.851000	0.888230	0.424821	0.816501	0.667926	0.078681	0.516642	0.082596	101.527923	0.016214	0.015287	
83	-2.851000	0.888230	0.424821	0.816501	0.667926	0.078681	0.516642	0.082596	101.527923	0.016214	0.015287	
84	-2.851000	0.888230	0.424821	0.816501	0.667926	0.078681	0.516642	0.082596	101.527923	0.016214	0.015287	
85	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
86	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
87	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
88	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
89	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
90	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
91	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
92	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
93	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
94	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
95	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
96	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
97	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
98	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
99	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
100	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
101	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
102	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
103	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
104	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
105	-2.854000	0.888246	0.432056	0.816677	0.668220	0.076851	0.517514	0.083626	100.409132	0.015296	0.015118	
106	-2.865000	0.887930	0.431874	0.818139	0.668339	0.078183	0.517127	0.090109	103.898551	0.019245	0.015217	
107	-2.865000	0.887930	0.431874	0.818139	0.668339	0.078183	0.517127	0.090109	103.898551	0.019245	0.015217	
108	-2.865000	0.887930	0.431874	0.818139	0.668339	0.078183	0.517127	0.090109	103.898551	0.019245	0.015217	
109	-2.865000	0.887930	0.431874	0.818139	0.668339	0.078183	0.517127	0.090109	103.898551	0.019245	0.015217	
110	-2.865000	0.887930	0.431874	0.818139	0.668339	0.078183	0.517127	0.090109	103.898551	0.019245	0.015217	
111	-2.865000	0.887930	0.431874	0.818139	0.668339	0.078183	0.517127	0.090109	103.898551	0.019245	0.015217	
112	-2.867000	0.887749	0.429342	0.816399	0.669964	0.076931	0.531507	0.089757	102.744904	0.019472	0.015333	
113	-2.879000	0.897956	0.483059	0.814792	0.659210	0.060603	0.346281	0.096872	81.001715	0.021059	0.010275	
114	-2.879000	0.897956	0.483059	0.814792	0.659210	0.060603	0.346281	0.096872	81.001715	0.021059	0.010275	
115	-2.879000	0.897956	0.483059	0.814792	0.659210	0.060603	0.346281	0.096872	81.001715	0.021059	0.010275	
116	-2.879000	0.897956	0.483059	0.814792	0.659210	0.060603	0.346281	0.096872	81.001715	0.021059	0.010275	
117	-2.893000	0.892488	0.431582	0.816167	0.668265	0.065151	0.516854	0.089293	81.972625	0.020958	0.011800	
118	-2.893000	0.892488	0.431582	0.816167	0.668265	0.065151	0.516854	0.089293	81.972625	0.020958	0.011800	
119	-2.893000	0.892488	0.431582	0.816167	0.668265	0.065151	0.516854	0.089293	81.972625	0.020958	0.011800	
120	-2.893000	0.892488	0.431582	0.816167	0.668265	0.065151	0.516854	0.089293	81.972625	0.020958	0.011800	
121	-2.893000	0.892488	0.431582	0.816167	0.668265	0.065151	0.516854	0.089293	81.972625	0.020958	0.011800	
122	-2.893000	0.892488	0.431582	0.816167	0.668265	0.065151	0.516854	0.089293	81.972625	0.020958	0.011800	
