Iter	Fval	x0	x1	x2	x3	x4	x5	x6	x7	x8	x9	
1	-1.829000	0.769021	0.193025	0.802215	0.662001	0.769846	0.390030	0.899680	111.247223	0.023952	0.047481	
2	-2.440000	0.763453	0.245847	0.774392	0.661763	0.644257	0.604211	0.717531	137.429208	0.021704	0.030808	
3	-2.440000	0.763453	0.245847	0.774392	0.661763	0.644257	0.604211	0.717531	137.429208	0.021704	0.030808	
4	-2.440000	0.763453	0.245847	0.774392	0.661763	0.644257	0.604211	0.717531	137.429208	0.021704	0.030808	
5	-2.440000	0.763453	0.245847	0.774392	0.661763	0.644257	0.604211	0.717531	137.429208	0.021704	0.030808	
6	-2.595000	0.768281	0.471988	0.809659	0.675363	0.485025	0.585477	0.491762	128.742609	0.019633	0.027826	
7	-2.595000	0.768281	0.471988	0.809659	0.675363	0.485025	0.585477	0.491762	128.742609	0.019633	0.027826	
8	-2.595000	0.768281	0.471988	0.809659	0.675363	0.485025	0.585477	0.491762	128.742609	0.019633	0.027826	
9	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
10	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
11	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
12	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
13	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
14	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
15	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
16	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
17	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
18	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
19	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
20	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
21	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
22	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
23	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
24	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
25	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
26	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
27	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
28	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
29	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
30	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
31	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
32	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
33	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
34	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
35	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
36	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
37	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
38	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
39	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
40	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
41	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
42	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
43	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
44	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
45	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
46	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
47	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
48	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
49	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
50	-2.628000	0.785577	0.586476	0.746055	0.673497	0.703610	0.549846	0.243064	111.193177	0.030082	0.023085	
